,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
219,bandarbeyla,9.4942,50.8122,298.65,80.0,36.0,15.53,SO,1624124279.0,25.5
220,sentyabrskiy,,,,,,,,,
221,bandraboua,-12.7044,45.1223,298.97,72.0,10.0,5.43,YT,1624124660.0,25.82000000000005
222,sao paulo de olivenca,-3.3783,-68.8725,300.43,84.0,56.0,0.98,BR,1624124660.0,27.28000000000003
223,tiksi,71.6872,128.8694,290.65,48.0,43.0,1.54,RU,1624124218.0,17.5
224,champerico,14.3,-91.9167,306.91,74.0,100.0,2.2,GT,1624124660.0,33.76000000000005
225,mitu,1.1983,-70.1733,301.37,74.0,51.0,0.97,CO,1624124401.0,28.220000000000027
226,icod de los vinos,28.3724,-16.7119,294.01,70.0,36.0,3.79,ES,1624124661.0,20.860000000000014
227,elizabeth city,36.2946,-76.2511,307.05,59.0,1.0,4.02,US,1624124661.0,33.900000000000034
228,sao joao da barra,-21.6403,-41.0511,295.2,69.0,79.0,7.68,BR,1624124661.0,22.05000000000001
229,alofi,-19.0595,-169.9187,292.09,100.0,59.0,1.03,NU,1624124302.0,18.939999999999998
230,hami,42.8,93.45,301.24,14.0,99.0,0.84,CN,1624124338.0,28.090000000000032
231,saint-alexandre,44.2278,4.6214,300.52,59.0,78.0,6.14,FR,1624124662.0,27.370000000000005
232,belushya guba,,,,,,,,,
233,pingliang,35.5392,106.6861,292.12,42.0,99.0,1.22,CN,1624124662.0,18.970000000000027
234,shihezi,44.3,86.0333,296.88,36.0,86.0,2.85,CN,1624124663.0,23.730000000000018
235,jalu,29.0331,21.5482,302.83,21.0,0.0,6.28,LY,1624124663.0,29.680000000000007
236,yuzhno-yeniseyskiy,,,,,,,,,
237,thompson,55.7435,-97.8558,293.24,45.0,75.0,4.12,CA,1624124332.0,20.090000000000032
238,roma,43.2128,-75.4557,302.11,57.0,20.0,0.89,US,1624124663.0,28.960000000000036
239,lima,-12.0432,-77.0282,294.76,71.0,90.0,2.57,PE,1624124186.0,21.610000000000014
240,port hardy,50.6996,-127.4199,284.25,100.0,90.0,3.09,CA,1624124664.0,11.100000000000023
241,grindavik,63.8424,-22.4338,283.46,66.0,40.0,8.23,IS,1624124295.0,10.310000000000002
